date_id,date,year,quarter,month,week,is_weekend,is_holiday
1,2022-01-01,2022,1,1,52,1,0
2,2022-01-02,2022,1,1,52,1,0
3,2022-01-03,2022,1,1,1,0,0
4,2022-01-04,2022,1,1,1,0,0
5,2022-01-05,2022,1,1,1,0,0
6,2022-01-06,2022,1,1,1,0,0
7,2022-01-07,2022,1,1,1,0,0
8,2022-01-08,2022,1,1,1,1,0
9,2022-01-09,2022,1,1,1,1,0
10,2022-01-10,2022,1,1,2,0,0
11,2022-01-11,2022,1,1,2,0,0
12,2022-01-12,2022,1,1,2,0,0
13,2022-01-13,2022,1,1,2,0,0
14,2022-01-14,2022,1,1,2,0,0
15,2022-01-15,2022,1,1,2,1,0
16,2022-01-16,2022,1,1,2,1,0
17,2022-01-17,2022,1,1,3,0,1
18,2022-01-18,2022,1,1,3,0,0
19,2022-01-19,2022,1,1,3,0,0
20,2022-01-20,2022,1,1,3,0,0
21,2022-01-21,2022,1,1,3,0,0
22,2022-01-22,2022,1,1,3,1,0
23,2022-01-23,2022,1,1,3,1,0
24,2022-01-24,2022,1,1,4,0,0
25,2022-01-25,2022,1,1,4,0,0
26,2022-01-26,2022,1,1,4,0,0
27,2022-01-27,2022,1,1,4,0,0
28,2022-01-28,2022,1,1,4,0,0
29,2022-01-29,2022,1,1,4,1,0
30,2022-01-30,2022,1,1,4,1,0
31,2022-01-31,2022,1,1,5,0,0
32,2022-02-01,2022,1,2,5,0,0
33,2022-02-02,2022,1,2,5,0,0
34,2022-02-03,2022,1,2,5,0,0
35,2022-02-04,2022,1,2,5,0,0
36,2022-02-05,2022,1,2,5,1,0
37,2022-02-06,2022,1,2,5,1,0
38,2022-02-07,2022,1,2,6,0,0
39,2022-02-08,2022,1,2,6,0,0
40,2022-02-09,2022,1,2,6,0,0
41,2022-02-10,2022,1,2,6,0,0
42,2022-02-11,2022,1,2,6,0,0
43,2022-02-12,2022,1,2,6,1,0
44,2022-02-13,2022,1,2,6,1,0
45,2022-02-14,2022,1,2,7,0,0
46,2022-02-15,2022,1,2,7,0,0
47,2022-02-16,2022,1,2,7,0,0
48,2022-02-17,2022,1,2,7,0,0
49,2022-02-18,2022,1,2,7,0,0
50,2022-02-19,2022,1,2,7,1,0
51,2022-02-20,2022,1,2,7,1,0
52,2022-02-21,2022,1,2,8,0,1
53,2022-02-22,2022,1,2,8,0,0
54,2022-02-23,2022,1,2,8,0,0
55,2022-02-24,2022,1,2,8,0,0
56,2022-02-25,2022,1,2,8,0,0
57,2022-02-26,2022,1,2,8,1,0
58,2022-02-27,2022,1,2,8,1,0
59,2022-02-28,2022,1,2,9,0,0
60,2022-03-01,2022,1,3,9,0,0
61,2022-03-02,2022,1,3,9,0,0
62,2022-03-03,2022,1,3,9,0,0
63,2022-03-04,2022,1,3,9,0,0
64,2022-03-05,2022,1,3,9,1,0
65,2022-03-06,2022,1,3,9,1,0
66,2022-03-07,2022,1,3,10,0,0
67,2022-03-08,2022,1,3,10,0,0
68,2022-03-09,2022,1,3,10,0,0
69,2022-03-10,2022,1,3,10,0,0
70,2022-03-11,2022,1,3,10,0,0
71,2022-03-12,2022,1,3,10,1,0
72,2022-03-13,2022,1,3,10,1,0
73,2022-03-14,2022,1,3,11,0,0
74,2022-03-15,2022,1,3,11,0,0
75,2022-03-16,2022,1,3,11,0,0
76,2022-03-17,2022,1,3,11,0,0
77,2022-03-18,2022,1,3,11,0,0
78,2022-03-19,2022,1,3,11,1,0
79,2022-03-20,2022,1,3,11,1,0
80,2022-03-21,2022,1,3,12,0,0
81,2022-03-22,2022,1,3,12,0,0
82,2022-03-23,2022,1,3,12,0,0
83,2022-03-24,2022,1,3,12,0,0
84,2022-03-25,2022,1,3,12,0,0
85,2022-03-26,2022,1,3,12,1,0
86,2022-03-27,2022,1,3,12,1,0
87,2022-03-28,2022,1,3,13,0,0
88,2022-03-29,2022,1,3,13,0,0
89,2022-03-30,2022,1,3,13,0,0
90,2022-03-31,2022,1,3,13,0,0
91,2022-04-01,2022,2,4,13,0,0
92,2022-04-02,2022,2,4,13,1,0
93,2022-04-03,2022,2,4,13,1,0
94,2022-04-04,2022,2,4,14,0,0
95,2022-04-05,2022,2,4,14,0,0
96,2022-04-06,2022,2,4,14,0,0
97,2022-04-07,2022,2,4,14,0,0
98,2022-04-08,2022,2,4,14,0,0
99,2022-04-09,2022,2,4,14,1,0
